Path,Methods,Description
/api/admin/users,GET,"Proxy to external admin users API with pagination (page, limit). Auth: Bearer token. Used by User Management."
/api/auth/login,POST,"Login with email/password; returns JWT."
/api/auth/logout,GET; POST,"Clear auth session (cookie/token)."
/api/auth/me,GET,"Return current authenticated user (JWT required)."
/api/customers,GET,"Fetch customers from external API for damage report ""Select customer"". Query: page, limit. Auth required."
/api/currency,GET,"Get currency list/settings."
/api/damage-reports,GET; POST; OPTIONS,"List damage reports (pagination search filters) or create one. Auth: viewIncidents/create."
/api/damage-reports/[id],GET; PUT; DELETE; OPTIONS,"Get update or delete a single damage report. Auth required."
/api/damage-reports/seed,POST; DELETE,"Seed damage reports from external customers; or delete all seeded."
/api/dashboard/stats,GET,"Dashboard overview stats (users admins volunteers disasters etc.). Auth required."
/api/devices,GET; POST; PUT; DELETE,"CRUD for devices. Auth required."
/api/devices/seed,POST,"Seed sample devices."
/api/disasters,GET; POST,"List or create disasters. Auth required."
/api/disasters/[id],GET; PUT; DELETE,"Get update or delete a disaster."
/api/disasters/[id]/assign-volunteer,POST; DELETE,"Assign or unassign a volunteer to a disaster."
/api/emergencies,GET; POST,"List or create emergencies. Auth required."
/api/external/admin/users,GET,"External proxy for admin users (alternative to /api/admin/users)."
/api/geofence,GET,"Proxy: get geofences from external tracking API. Auth required."
/api/geofence/[id],GET,"Proxy: get single geofence by ID."
/api/geofence/[id]/events,GET,"Proxy: get events for a geofence."
/api/geofence/events,GET,"Proxy: get geofence events. Auth required."
/api/incidents,GET; POST; PUT; DELETE,"CRUD for incidents. Auth required."
/api/incidents/seed,POST,"Seed sample incidents."
/api/inventory/items,GET; POST,"List or create inventory items."
/api/inventory/items/[id],GET; PUT; DELETE,"Get update or delete an inventory item."
/api/inventory/locations,GET; POST,"List or create inventory locations."
/api/inventory/locations/[id],GET; PUT; DELETE,"Get update or delete an inventory location."
/api/inventory/seed,POST,"Seed inventory data."
/api/inventory/stock,GET; POST,"List or create stock entries."
/api/inventory/stock/[id],GET; PUT; DELETE,"Get update or delete stock entry."
/api/inventory/stock/[id]/dispatch,POST,"Dispatch stock."
/api/inventory/stock/[id]/reserve,POST,"Reserve stock."
/api/inventory/stock/[id]/restock,POST,"Restock item."
/api/live-disasters,GET,"Fetch live disaster data (e.g. for map)."
/api/mobile/alerts,GET,"Mobile: get alerts. Auth required."
/api/mobile/tasks,GET,"Mobile: list tasks. Auth required."
/api/mobile/tasks/accept,POST,"Mobile: accept a task."
/api/mobile/tasks/decline,POST,"Mobile: decline a task."
/api/mobile/tasks/[disasterId],GET,"Mobile: get tasks for a disaster."
/api/ops-users,GET; POST; PUT; DELETE,"CRUD for ops users (admin panel users). Auth required."
/api/ops-users/change-password,POST,"Change current user password."
/api/ops-users/me,GET,"Get current ops user profile."
/api/ops-users/seed,POST,"Seed ops users."
/api/orders,GET,"List orders. Auth required."
/api/orders/[id],GET,"Get single order by ID."
/api/products,GET; POST; OPTIONS,"List or create products. Auth required."
/api/products/[id],GET; PUT; DELETE; OPTIONS,"Get update or delete a product."
/api/reports,GET; POST,"List or create reports. Auth required."
/api/resource-locator/categories,GET,"Get resource categories."
/api/resource-locator/resources,GET,"List resources. Auth required."
/api/resource-locator/resources/[id],GET,"Get single resource by ID."
/api/search,GET,"Global search (users disasters etc.). Query: q. Auth required."
/api/services,GET; POST; PUT; DELETE,"CRUD for service providers (vendors). Auth required."
/api/shelters,GET; POST; PUT; DELETE,"CRUD for shelters. Auth required."
/api/shelters/auto-seed,GET,"Trigger auto-seed for shelters."
/api/shelters/init,GET,"Initialize shelters (e.g. schema)."
/api/shelters/seed,POST; DELETE,"Seed shelters or delete seeded data."
/api/category-documents,GET; POST; PUT; DELETE,"CRUD for category document requirements."
/api/seed,GET,"General seed/info endpoint."
/api/tracking/location/all,GET,"Proxy: get all user locations from external tracking API. Auth required."
/api/tracking/location/current,GET,"Proxy: get current location. Auth required."
/api/tracking/location/current/[userId],GET,"Proxy: get current location for a user."
/api/tracking/location/history,GET,"Proxy: get location history. Auth required."
/api/tracking/location/history/[userId],GET,"Proxy: get location history for a user. Query: page limit."
/api/tracking/location/multiple,GET,"Proxy: get locations for multiple users. Auth required."
/api/tracking/location/nearby,GET,"Proxy: get nearby locations. Auth required."
/api/tracking/location/shared,GET,"Proxy: get shared locations. Auth required."
/api/tracking/location/visible,GET,"Proxy: get visible locations. Auth required."
/api/user/property/photos,POST,"Upload user property photos. Auth required."
/api/users,GET; POST; PUT; DELETE,"CRUD for local dashboard users (admin/super_admin). Auth required."
/api/users/[id],GET; PUT; DELETE,"Get update or delete a user by ID."
/api/volunteers,GET; POST; PUT; DELETE,"CRUD for volunteers. Auth required."
/api/volunteers/by-id/[volunteerId],GET,"Get volunteer by volunteerId."
/api/volunteers/mobile-login,POST,"Mobile volunteer login."
/api/volunteers/public/[volunteerId],GET,"Public volunteer profile (no auth)."
/api/volunteers/seed,POST,"Seed volunteers."
/api/volunteers/[id]/assign-disaster,POST,"Assign volunteer to a disaster."
/api/volunteer-teams,GET; POST; PUT; DELETE,"CRUD for volunteer teams. Auth required."
/api/weather,GET,"Weather data. Query: type (e.g. multi search)."
/api/adjusters,GET; POST; OPTIONS,"List or create adjusters. Auth: viewIncidents."
/api/adjusters/[id],GET; PUT; DELETE; OPTIONS,"Get update or delete an adjuster."
/api/adjusters/seed,POST; DELETE,"Seed adjusters or delete seeded."
